team,p_win_prior,p_win_posterior,shift
Algeria,0.5365,0.5304,-0.0061
Argentina,0.4295,0.4514,0.0219
Australia,0.6079,0.6103,0.0024
Austria,0.6946,0.6968,0.0022
Belgium,0.6294,0.6303,0.0008
Bosnia-Herzegovina,0.7338,0.7202,-0.0136
Brazil,0.7116,0.7223,0.0107
Canada,0.552,0.573,0.0211
Cape Verde,0.6495,0.6503,0.0008
Colombia,0.7104,0.7212,0.0108
Congo DR,0.5045,0.4991,-0.0054
Croatia,0.6473,0.6459,-0.0014
Curaçao,0.5802,0.5511,-0.0292
Czechia,0.6129,0.6077,-0.0052
Côte d'Ivoire,0.5635,0.5661,0.0025
Ecuador,0.701,0.6964,-0.0046
Egypt,0.4668,0.4779,0.0111
England,0.7269,0.7352,0.0083
France,0.4746,0.4963,0.0217
Germany,0.5756,0.5967,0.0211
Ghana,0.6419,0.6489,0.007
Haiti,0.4666,0.4421,-0.0244
IR Iran,0.6223,0.6231,0.0008
Iraq,0.6705,0.6423,-0.0282
Japan,0.6208,0.636,0.0152
Jordan,0.4068,0.3897,-0.0171
Korea Republic,0.5453,0.5479,0.0025
Mexico,0.5748,0.5905,0.0157
Morocco,0.7276,0.7335,0.0059
Netherlands,0.747,0.7554,0.0084
New Zealand,0.6344,0.6244,-0.0099
Norway,0.6869,0.6992,0.0124
Panama,0.4462,0.4339,-0.0123
Paraguay,0.7074,0.7022,-0.0052
Portugal,0.7251,0.7349,0.0098
Qatar,0.5395,0.5106,-0.0289
Saudi Arabia,0.6248,0.6026,-0.0222
Scotland,0.6199,0.6224,0.0024
Senegal,0.6802,0.6628,-0.0174
South Africa,0.6548,0.6451,-0.0097
Spain,0.5262,0.5429,0.0167
Sweden,0.6687,0.671,0.0023
Switzerland,0.6456,0.6579,0.0123
Tunisia,0.6287,0.5997,-0.0289
Türkiye,0.5112,0.4927,-0.0185
United States,0.5211,0.5424,0.0213
Uruguay,0.81,0.8106,0.0005
Uzbekistan,0.5206,0.4919,-0.0287
