team,group,pts,w,d,l,gf,ga,gd,matches_played,group_rank
Mexico,A,6,2,0,0,3,0,3,2,1
Korea Republic,A,3,1,0,1,2,2,0,2,2
Czechia,A,1,0,1,1,2,3,-1,2,3
South Africa,A,1,0,1,1,1,3,-2,2,4
Canada,B,4,1,1,0,7,1,6,2,1
Switzerland,B,4,1,1,0,5,2,3,2,2
Bosnia-Herzegovina,B,1,0,1,1,2,5,-3,2,3
Qatar,B,1,0,1,1,1,7,-6,2,4
Brazil,C,4,1,1,0,4,1,3,2,1
Morocco,C,4,1,1,0,2,1,1,2,2
Scotland,C,3,1,0,1,1,1,0,2,3
Haiti,C,0,0,0,2,0,4,-4,2,4
United States,D,6,2,0,0,6,1,5,2,1
Australia,D,3,1,0,1,2,2,0,2,2
Paraguay,D,3,1,0,1,2,4,-2,2,3
Türkiye,D,0,0,0,2,0,3,-3,2,4
Germany,E,6,2,0,0,9,2,7,2,1
Côte d'Ivoire,E,3,1,0,1,2,2,0,2,2
Ecuador,E,1,0,1,1,0,1,-1,2,3
Curaçao,E,1,0,1,1,1,7,-6,2,4
Netherlands,F,4,1,1,0,7,3,4,2,1
Japan,F,4,1,1,0,6,2,4,2,2
Sweden,F,3,1,0,1,6,6,0,2,3
Tunisia,F,0,0,0,2,1,9,-8,2,4
Egypt,G,4,1,1,0,4,2,2,2,1
IR Iran,G,2,0,2,0,2,2,0,2,2
Belgium,G,2,0,2,0,1,1,0,2,3
New Zealand,G,1,0,1,1,3,5,-2,2,4
Spain,H,4,1,1,0,4,0,4,2,1
Uruguay,H,2,0,2,0,3,3,0,2,2
Cape Verde,H,2,0,2,0,2,2,0,2,3
Saudi Arabia,H,1,0,1,1,1,5,-4,2,4
France,I,6,2,0,0,6,1,5,2,1
Norway,I,6,2,0,0,7,3,4,2,2
Senegal,I,0,0,0,2,3,6,-3,2,3
Iraq,I,0,0,0,2,1,7,-6,2,4
Argentina,J,6,2,0,0,5,0,5,2,1
Austria,J,3,1,0,1,3,3,0,2,2
Algeria,J,3,1,0,1,2,4,-2,2,3
Jordan,J,0,0,0,2,2,5,-3,2,4
Colombia,K,6,2,0,0,4,1,3,2,1
Portugal,K,4,1,1,0,6,1,5,2,2
Congo DR,K,1,0,1,1,1,2,-1,2,3
Uzbekistan,K,0,0,0,2,1,8,-7,2,4
England,L,4,1,1,0,4,2,2,2,1
Ghana,L,4,1,1,0,1,0,1,2,2
Croatia,L,3,1,0,1,3,4,-1,2,3
Panama,L,0,0,0,2,0,2,-2,2,4
