team,p_win,ci_lo,ci_hi,ci_width
Argentina,0.0429,0.03956670917815817,0.046233290821841834,0.006666581643683667
Spain,0.0403,0.037064911448541946,0.04353508855145806,0.006470177102916114
France,0.0373,0.03418279184240529,0.04041720815759471,0.006234416315189423
Brazil,0.0349,0.031880988456634354,0.03791901154336565,0.006038023086731292
Colombia,0.0347,0.03168933944361457,0.03771066055638543,0.006021321112770858
Germany,0.0343,0.031306122144312665,0.03729387785568733,0.005987755711374665
Portugal,0.0342,0.031210334802707837,0.037189665197292165,0.0059793303945843285
Netherlands,0.0339,0.03092301399886143,0.03687698600113857,0.005953972002277139
England,0.0334,0.030444285166816663,0.03635571483318334,0.005911429666366676
Switzerland,0.0317,0.02881795671375758,0.03458204328624242,0.005764086572484839
Norway,0.0316,0.028722357533048973,0.03447764246695103,0.005755284933902056
Croatia,0.0311,0.028244477577399365,0.03395552242260064,0.005711044845201272
United States,0.0303,0.02748028045707113,0.033119719542928874,0.005639439085857744
Canada,0.0302,0.02738479215760186,0.03301520784239814,0.005630415684796282
Japan,0.03,0.02719384021303134,0.03280615978696866,0.005612319573937319
Mexico,0.0291,0.026334971275560597,0.03186502872443941,0.0055300574488788105
Morocco,0.0278,0.025095630006101235,0.030504369993898762,0.005408739987797527
Belgium,0.0267,0.024048174792001744,0.02935182520799826,0.005303650415996515
Ghana,0.0258,0.02319204665457758,0.02840795334542242,0.005215906690844839
Korea Republic,0.0258,0.02319204665457758,0.02840795334542242,0.005215906690844839
Austria,0.0254,0.022811811136895146,0.027988188863104852,0.005176377726209706
Egypt,0.0252,0.022621756491640093,0.027778243508359907,0.005156487016719814
IR Iran,0.0252,0.022621756491640093,0.027778243508359907,0.005156487016719814
Australia,0.0245,0.021956905015660052,0.02704309498433995,0.005086189968679898
Sweden,0.0239,0.02138746564282695,0.026412534357173053,0.005025068714346104
Côte d'Ivoire,0.0235,0.021008069318906523,0.025991930681093477,0.004983861362186953
Paraguay,0.023,0.020534090679384175,0.025465909320615824,0.004931818641231649
Senegal,0.0216,0.01920860674551424,0.023991393254485762,0.004782786508971522
Cape Verde,0.0213,0.018924907664579122,0.023675092335420877,0.004750184670841755
Algeria,0.0206,0.018263425878962965,0.022936574121037036,0.004673148242074071
Scotland,0.0204,0.018074558737873607,0.022725441262126396,0.004650882524252789
Bosnia-Herzegovina,0.02,0.017697,0.022303,0.004605999999999999
Uruguay,0.0149,0.01290703718324325,0.01689296281675675,0.0039859256335135
Ecuador,0.01,0.00836324566595961,0.01163675433404039,0.0032735086680807796
Türkiye,0.0096,0.007995990874838923,0.011204009125161075,0.003208018250322152
Czechia,0.0074,0.0059901630210907365,0.008809836978909264,0.0028196739578185276
Congo DR,0.0055,0.004283394877384202,0.006716605122615797,0.0024332102452315953
South Africa,0.0055,0.004283394877384202,0.006716605122615797,0.0024332102452315953
Curaçao,0.0055,0.004283394877384202,0.006716605122615797,0.0024332102452315953
New Zealand,0.0049,0.0037513246394324457,0.006048675360567554,0.0022973507211351083
Saudi Arabia,0.0045,0.0033989861266201047,0.005601013873379895,0.00220202774675979
Qatar,0.0042,0.003136159282646128,0.005263840717353871,0.002127681434707743
Uzbekistan,0.0029,0.0020154258182746906,0.003784574181725309,0.0017691483634506185
Jordan,0.0017,0.0010223258830566124,0.0023776741169433875,0.001355348233886775
Iraq,0.0017,0.0010223258830566124,0.0023776741169433875,0.001355348233886775
Panama,0.0006,0.00019717983776876307,0.0010028201622312369,0.0008056403244624739
Haiti,0.0005,0.00013225878749452077,0.0008677412125054792,0.0007354824250109585
Tunisia,0.0,0.0,0.0,0.0
