qualifying_groups,m75,m78,m79,m80,m81,m82,m85,m88
"E,F,G,H,I,J,K,L",3F,3G,3E,3K,3H,3I,3J,3L
"D,F,G,H,I,J,K,L",3D,3F,3H,3K,3J,3I,3G,3L
"D,E,G,H,I,J,K,L",3D,3G,3E,3K,3H,3I,3J,3L
"D,E,F,H,I,J,K,L",3D,3F,3E,3K,3H,3I,3J,3L
"D,E,F,G,I,J,K,L",3D,3F,3E,3K,3J,3I,3G,3L
"D,E,F,G,H,J,K,L",3D,3F,3E,3K,3H,3J,3G,3L
"D,E,F,G,H,I,K,L",3D,3F,3E,3K,3H,3I,3G,3L
"D,E,F,G,H,I,J,L",3D,3F,3E,3I,3H,3J,3G,3L
"D,E,F,G,H,I,J,K",3D,3F,3E,3K,3H,3J,3G,3I
"C,F,G,H,I,J,K,L",3C,3F,3H,3K,3J,3I,3G,3L
"C,E,G,H,I,J,K,L",3C,3G,3E,3K,3H,3I,3J,3L
"C,E,F,H,I,J,K,L",3C,3F,3E,3K,3H,3I,3J,3L
"C,E,F,G,I,J,K,L",3C,3F,3E,3K,3J,3I,3G,3L
"C,E,F,G,H,J,K,L",3C,3F,3E,3K,3H,3J,3G,3L
"C,E,F,G,H,I,K,L",3C,3F,3E,3K,3H,3I,3G,3L
"C,E,F,G,H,I,J,L",3C,3F,3E,3I,3H,3J,3G,3L
"C,E,F,G,H,I,J,K",3C,3F,3E,3K,3H,3J,3G,3I
"C,D,G,H,I,J,K,L",3C,3D,3H,3K,3J,3I,3G,3L
"C,D,F,H,I,J,K,L",3D,3F,3C,3K,3H,3I,3J,3L
"C,D,F,G,I,J,K,L",3D,3F,3C,3K,3J,3I,3G,3L
"C,D,F,G,H,J,K,L",3D,3F,3C,3K,3H,3J,3G,3L
"C,D,F,G,H,I,K,L",3D,3F,3C,3K,3H,3I,3G,3L
"C,D,F,G,H,I,J,L",3D,3F,3C,3I,3H,3J,3G,3L
"C,D,F,G,H,I,J,K",3D,3F,3C,3K,3H,3J,3G,3I
"C,D,E,H,I,J,K,L",3C,3D,3E,3K,3H,3I,3J,3L
"C,D,E,G,I,J,K,L",3C,3D,3E,3K,3J,3I,3G,3L
"C,D,E,G,H,J,K,L",3C,3D,3E,3K,3H,3J,3G,3L
"C,D,E,G,H,I,K,L",3C,3D,3E,3K,3H,3I,3G,3L
"C,D,E,G,H,I,J,L",3C,3D,3E,3I,3H,3J,3G,3L
"C,D,E,G,H,I,J,K",3C,3D,3E,3K,3H,3J,3G,3I
"C,D,E,F,I,J,K,L",3D,3F,3C,3K,3I,3E,3J,3L
"C,D,E,F,H,J,K,L",3D,3F,3C,3K,3H,3E,3J,3L
"C,D,E,F,H,I,K,L",3D,3F,3C,3K,3H,3I,3E,3L
"C,D,E,F,H,I,J,L",3D,3F,3C,3I,3H,3E,3J,3L
"C,D,E,F,H,I,J,K",3D,3F,3C,3K,3H,3E,3J,3I
"C,D,E,F,G,J,K,L",3D,3F,3C,3K,3J,3E,3G,3L
"C,D,E,F,G,I,K,L",3D,3F,3C,3K,3I,3E,3G,3L
"C,D,E,F,G,I,J,L",3D,3F,3C,3I,3J,3E,3G,3L
"C,D,E,F,G,I,J,K",3D,3F,3C,3K,3J,3E,3G,3I
"C,D,E,F,G,H,K,L",3D,3F,3C,3K,3H,3E,3G,3L
"C,D,E,F,G,H,J,L",3D,3F,3C,3E,3H,3J,3G,3L
"C,D,E,F,G,H,J,K",3D,3F,3C,3K,3H,3J,3G,3E
"C,D,E,F,G,H,I,L",3D,3F,3C,3I,3H,3E,3G,3L
"C,D,E,F,G,H,I,K",3D,3F,3C,3K,3H,3E,3G,3I
"C,D,E,F,G,H,I,J",3D,3F,3C,3I,3H,3J,3G,3E
"B,F,G,H,I,J,K,L",3F,3G,3H,3K,3I,3B,3J,3L
